LC;family;predator;detail;resource_abundance;E/N ;obs_broad;taxon;resource;FO;PO;Pbiomass;obsPO;obs_FO.PO;siteID;country;site;obs_site;lat;long;n_sample;method;year_start_sampling;year_end_sampling;sampling_period_months;season;ref;other references;
LC;Felidae;Puma concolor;;;;;broad;Vertebrates;NA;PO;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Rodentia;NA;0.154;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Myocastor coypus;NA;0.154;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Lagomorpha;NA;0.461;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Lepus europaeus;NA;0.461;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Artiodactyla;NA;0.077;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Pudu puda;NA;0.077;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Anseriformes;NA;0.308;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Cygnus melancoryphus;NA;0.308;NA;Item;;CL1_SM;Chile;San Martín Field Station, Chile;;-39.63;-73.12;12;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;broad;Vertebrates;NA;1.00;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Microbiotheria;NA;0.25;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Dromiciops gliroides;NA;0.25;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Lagomorpha;NA;0.25;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Lepus europaeus;NA;0.25;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;order;Artiodactyla;NA;0.5;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Ovis aries;NA;0.25;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
LC;Felidae;Puma concolor;;;;;sp;Sus scrofa;NA;0.25;NA;Item;;CL2_NNP;Chile;Nahuelbuta National Park, Chile;;-39.63;-73.12;3;scat ;1985;1999;;;Rau and Jiménez, 2002;;
